User ID;Rank;Skipper;Team;Points
5fa7d34fa73ee0501885f45c;6371;nadiavince;teamvendee85;51741
5fa80c06a73ee050183c85e1;6372;Lili_de_Saille;Ocean Cleanup Project;51738
5be6d197517022fc09dfefe4;6373;lapinou35;Les Navigateurs du 35;51738
5fa95837a73ee05018788677;6374;Otilio; ;51737
5e446e94080c8cbd45f6a262;6375;Marvindbl;Les Enfants de l'Océan;51735
5a2d43677b296eaadfc5ebed;6376;ADIGECALE; ;51733
59da541de7821e295491c1e8;6377;fabio2691;TEAM ITALIA ;51732
5fa80260a73ee050188df6a9;6378;Elo&Polo TFB; ;51730
59c213deb395b292ed622473;6379;chauffar1;NAPs;51729
5f13a26e52e859ef03f7f55b;6380;Haitun_gadz;Gadzarts;51727
5a96a9a77b296eaadfcd610e;6381;Elloine - LTS;Les Tontons Skippers;51725
59cf4c22b395b292ed632239;6382;Team Green SRC; ;51724
5aff2faf517022fc09ccffbb;6383;Isatiste; ;51720
604178f6d7d77a6aa4f05467;6384;blizzer;TEAM ITALIA ;51719
5f8099dc52e859ef030b52af;6385;Grandgéni; ;51719
59fcd673e0750e372d6897bf;6386;kikouloop NAP;NAPs;51719
5fc269dd06999515a38c8c72;6387;Rico95; ;51718
5fa5a3afa73ee0501898a36e;6388;Alex51ABRYA1;team barbouzette;51718
5fa9896fa73ee05018865eb9;6389;BYcoque; ;51717
5a5cd83b7b296eaadfca3d44;6390;cornilettes; ;51716
611680f02a05eec971ce8b8b;6391;SkippyNico; ;51715
5a0114287b296eaadfc0f06a;6392;dracopw; ;51715
59c6bb26b395b292ed6298a5;6393;WED3P-speyside;whisky from scotland;51713
5fa6eca6a73ee05018cd7db7;6394;tileymo; ;51713
5caa05ca517022fc091127f4;6395;MARSOUIN161162;marsouin;51711
6187d9272a05eec9715439ef;6396;derumal; ;51710
5bde4601517022fc09d5e63b;6397;lymath;Team 79;51709
5a4b9d477b296eaadfc8a4ed;6398;Vava18;seatech sailing team;51707
5fb2d26806999515a3c68e8e;6399;CaptainVD; ;51707
59c1778bb395b292ed621df5;6400;le mulot 79;Guidel Team;51703
5fa7df5ba73ee05018fa1a2b;6401;BSK Immobilier 83;Team Var regatta;51702
5d9e25e96f64cfd4344686f2;6402;a2net49; ;51700
5fa7e8e5a73ee05018958db6;6403;Tontonplaqueur; ;51699
5fa6f457a73ee050186829ba;6404;casyti;Montluçon;51699
5fb63ac406999515a32a3626;6405;Eoleivier;VIZIOZ Talence;51699
5fa58e05a73ee0501836aa2b;6406;winnie41; ;51698
5fa5bf86a73ee05018566417;6407;Captain_Margouillat_987;AMS Captain Team 83;51697
5bbe2b3a517022fc09d1aa08;6408;Eon-mor; ;51696
5fa9901fa73ee05018ab8398;6409;narval29rapido;Octopus;51693
5ae01dc27b296eaadfd02116;6410;paqui paqui;quiqui;51692
61aca0e92a05eec9719374a4;6411;ben32/A; ;51690
59cc9666b395b292ed62e879;6412;Alulo; ;51689
